#contig,contig_reassign,bases_hap_dip,bases_low_high,bases_all,perc_low_coverage,perc_hap_coverage,perc_dip_coverage,perc_high_coverage
NW_020539724.1.TD_36,s,1447686,4357,1452043,0.300,95.531,4.169,0.000
NW_020538040.1.TD_1428,s,1497904,4807,1502711,0.320,95.744,3.936,0.000
NW_020538040.1.TD_1431,s,1933551,673,1934224,0.035,97.489,2.476,0.000
NW_020538040.1.TD_340,s,1269841,8951,1278792,0.700,97.841,1.459,0.000
NW_020537324.1.TD_1128,s,1266874,871,1267745,0.069,99.076,0.855,0.000
NW_020538040.1.TD_1446,s,1235067,1326,1236393,0.107,99.223,0.670,0.000
NW_020537324.1.TD_1132,s,1216966,4809,1221775,0.394,98.653,0.954,0.000
NW_020538040.1.TD_1419,s,1165015,3861,1168876,0.330,97.429,2.241,0.000
NW_020538040.1.TD_2445,s,1164947,915,1165862,0.078,99.213,0.708,0.000
NW_020538040.1.TD_1606,s,1164944,26,1164970,0.002,99.239,0.759,0.000
NW_020538040.1.TD_1558,s,1007698,2168,1009866,0.215,96.464,3.321,0.000
NW_020538040.1.TD_1370,s,988515,3954,992469,0.398,94.535,5.066,0.000
NW_020538040.1.TD_585,s,963178,8271,971449,0.851,97.236,1.912,0.000
NW_020536999.1.TD_838,s,919065,3685,922750,0.399,97.422,2.179,0.000
NW_020536999.1.TD_840,s,876922,1725,878647,0.196,99.804,0.000,0.000
NW_020538040.1.TD_2200,s,878971,589,879560,0.067,95.056,4.877,0.000
NW_020538040.1.TD_2087,s,847300,5479,852779,0.642,96.551,2.807,0.000
NW_020537758.1.TD_578,s,831960,2094,834054,0.251,97.376,2.373,0.000
NW_020537646.1.TD_1026,s,810908,0,810908,0.000,97.786,2.214,0.000
NW_020538040.1.TD_1420,s,785710,3519,789229,0.446,92.997,6.557,0.000
NW_020538040.1.TD_1358,s,771397,4960,776357,0.639,94.982,4.379,0.000
NW_020538040.1.TD_1367,s,776589,6,776595,0.001,95.959,4.041,0.000
